Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
Homeland,55,"Crime, Drama, Mystery","Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",8.3,320237,2011
BoJack Horseman,25,"Animation, Comedy, Drama","Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",8.7,120871,2014
Prison Break,44,"Action, Crime, Drama","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",8.3,487718,2005
Succession,60,Drama,"Nicholas Braun, Sarah Snook, Jeremy Strong, Brian Cox",8.6,53113,2018
Riverdale,45,"Crime, Drama, Mystery","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",6.8,125092,2017
Hawaii Five-0,42,"Action, Crime, Drama","""Alex OLoughlin"", Scott Caan, Taylor Wily, Daniel Dae Kim",7.3,68008,2010
SEAL Team,43,"Action, Drama, War","David Boreanaz, Max Thieriot, Neil Brown Jr., A.J. Buckley",7.6,17734,2017
Billions,60,Drama,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile",8.4,72721,2016
Agents of S.H.I.E.L.D.,45,"Action, Adventure, Drama","Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",7.5,203586,2013
Good Girls,43,"Comedy, Crime, Drama","Christina Hendricks, Retta, Mae Whitman, Reno Wilson",7.8,37034,2018
Call the Midwife,60,"Drama, History","Vanessa Redgrave, Laura Main, Jenny Agutter, Stephen McGann",8.4,21074,2012
Legacies,45,"Adventure, Drama, Fantasy","Danielle Rose Russell, Aria Shahghasemi, Kaylee Bryant, Quincy Fouse",7.4,21513,2018
Teen Wolf,41,"Action, Drama, Fantasy","Tyler Posey, Holland Roden, ""Dylan OBrien"", Linden Ashby",7.6,131103,2011
Mr Inbetween,30,"Crime, Drama","Scott Ryan, Chika Yasumura, Justin Rosniak, Damon Herriman",8.5,7208,2018
Arrow,42,"Action, Adventure, Crime","Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",7.5,412385,2012
Titans,45,"Action, Adventure, Crime","Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter",7.7,70823,I 20
For All Mankind,60,"Drama, Sci-Fi","Joel Kinnaman, Michael Dorman, Sarah Jones, Shantel VanSanten",7.8,20425,2019
Station 19,60,"Action, Drama, Romance","Jaina Lee Ortiz, Jason George, Grey Damon, Barrett Doss",6.7,9717,2018
Scrubs,22,"Comedy, Drama","Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley",8.3,240695,2001
The Morning Show,60,Drama,"Jennifer Aniston, Reese Witherspoon, Billy Crudup, Gugu Mbatha-Raw",8.4,59315,I 20
Two and a Half Men,22,"Comedy, Romance","Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell",7,245102,2003
