Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
Rebecka Martinsson,nan,"Crime, Drama, Mystery","Eva Melander, Jakob Öhrman, Ardalan Esmaili, Thomas Oredsson",7.2,2294,2017
Hey Duggee,nan,"Animation, Family","Alexander Armstrong, Jasmine Bartholomew, Alfie Sanderson, Poppie Boyes",8.9,846,2014
College Romance,nan,"Comedy, Drama, Romance","Manjot Singh, Apoorva Arora, Keshav Sadhna, Gagan Arora",8.9,24230,2018
Whiskey Cavalier,nan,"Action, Adventure, Comedy","Scott Foley, Lauren Cohan, Ana Ortiz, Tyler James Williams",7.1,8531,2019
Life Below Zero,44,"Documentary, Adventure, Reality-TV","James Franzo, Sue Aikens, Agnes Hailstone, Chip Hailstone",8,1633,2013
Made in Abyss,325,"Animation, Adventure, Drama","Miyu Tomita, Mariya Ise, Luci Christian, Brittany Lauda",8.4,7086,2017
Kadin,120,Drama,"Özge Özpirinçci, Seray Kaya, Kubra Suzgun, Ali Semi Sefil",6.7,1026,2017
The Arrangement,60,Drama,"Josh Henderson, Christine Evangelista, Lexa Doig, Carra Patterson",6.6,3169,I 20
El internado,75,"Drama, Mystery, Thriller","Marta Torné, Martiño Rivas, Raúl Fernández de Pablo, Yon González",8.2,4552,2007
Il giovane Montalbano,120,"Crime, Mystery","Andrea Tidona, Michele Riondino, Fabrizio Pizzuto, Alessio Piazza",7.7,1182,2012
Human Target,60,"Action, Adventure, Crime","Mark Valley, Chi McBride, Jackie Earle Haley, Indira Varma",7.7,17434,2010
Wilfred,22,"Comedy, Drama, Mystery","Elijah Wood, Jason Gann, Fiona Gubelmann, Dorian Brown Pham",7.8,40422,2011
Secrets and Lies,43,"Crime, Drama","Ryan Phillippe, Juliette Lewis, KaDee Strickland, Natalie Martinez",7.6,10657,2015
The Grim Adventures of Billy & Mandy,30,"Animation, Adventure, Comedy","Greg Eagles, Richard Steven Horvitz, Grey Griffin, Vanessa Marshall",7.7,21243,2001
R.L. Stine's The Haunting Hour,23,"Action, Adventure, Drama","Jeny Cassady, Dan Payne, Emma Grabinsky, Geoff Redknap",7.9,2219,2010
Indian Summers,52,Drama,"Henry Lloyd-Hughes, Jemima West, Julie Walters, Rick Warden",7.3,3730,2015
Christina on the Coast,30,Reality-TV,"Christina Anstead, Cassie Zebisch, Ant Anstead, Walter Buttkus Iii",3.6,420,2019
Ao no ekusoshisuto,30,"Animation, Action, Drama","Nobuhiko Okamoto, Bryce Papenbrook, Jun Fukuyama, Johnny Yong Bosch",7.5,11498,2011
Club de Cuervos,40,"Comedy, Drama","Luis Gerardo Méndez, Mariana Treviño, Jesús Zavala, Antonio de la Vega",8.2,5099,2015
Leonning maen,80,"Comedy, Game-Show, Reality-TV","Jae-Suk Yoo, Jong-Kook Kim, Haha, Kwang-Soo Lee",9,2715,2010
Evil Lives Here,43,"Documentary, Biography, Crime","T.J. Craig, Robert Levey II, Brian Vadim, David Wenzel",8,841,2016
"What's New, Scooby-Doo?",30,"Animation, Adventure, Comedy","Frank Welker, Mindy Cohn, Casey Kasem, Arturo Mercado",7.3,8342,2002
Girlboss,26,Comedy,"Britt Robertson, Ellie Reed, Johnny Simmons, Alphonso McAuley",7,16013,2017
Mountain Men,42,"Reality-TV, Western","Tom Oar, Eustace Conway, D.B. Sweeney, Marty Meierotto",7.3,1360,2012
Out of Love,50,Thriller,"Rasika Dugal, Purab Kohli, Suhaas Ahuja, Harsh Chhaya",7.1,1062,2019
Autopsy: The Last Hours of,45,"Documentary, Biography","Michael Hunter, Eric Meyers, Linda Papadopoulos, Iain Glen",7.7,570,2014
Behzat Ç.: Bir Ankara Polisiyesi,90,"Crime, Drama, Mystery","Erdal Besikçioglu, Inanç Konukçu, Ege Aydan, Berkan Sal",8.8,28077,2010
Phil of the Future,25,"Adventure, Comedy, Family","Raviv Ullman, Amy Bruckner, Craig Anton, Lise Simms",7,7026,2004
Togetherness,30,"Comedy, Drama, Romance","Mark Duplass, Melanie Lynskey, Amanda Peet, Steve Zissis",7.5,7784,2015
Stitchers,60,"Crime, Drama, Sci-Fi","Emma Ishta, Kyle Harris, Ritesh Rajan, Salli Richardson-Whitfield",6.9,11553,2015
The Looney Tunes Show,23,"Animation, Short, Adventure","Jeff Bergman, Bob Bergen, Fred Armisen, Kristen Wiig",7.5,9083,2011
The Listener,42,"Crime, Drama, Fantasy","Craig Olejnik, Ennis Esmer, Lauren Lee Smith, Rainbow Sun Francks",6.8,7786,2009
Count Arthur Strong,30,Comedy,"Steve Delaney, Rory Kinnear, Zahra Ahmadi, Andy Linden",7.6,774,2013
Charité,45,"Drama, History","Alicia von Rittberg, Mala Emde, Nina Gummich, Maximilian Meyer-Bretschneider",7.9,2800,2017
Carmen Sandiego,22,"Animation, Action, Adventure","Finn Wolfhard, Gina Rodriguez, ""Liam OBrien"", Abby Trott",7.9,4619,2019
L'art du crime,50,"Crime, Drama, Mystery","Nicolas Gob, Eléonore Bernheim, Benjamin Egner, Philippe Duclos",7,356,2017
The Late Late Show with James Corden,60,"Comedy, Talk-Show","James Corden, Reggie Watts, Louis Waymouth, Allison Janney",6.1,6511,2015
Informer,60,"Crime, Drama, Thriller","Paddy Considine, Nabhaan Rizwan, Bel Powley, Reiss Jeram",7.8,4977,2018
Green Wing,65,"Comedy, Drama","Sally Bretton, Oliver Chris, Olivia Colman, Michelle Gomez",8.3,11316,2004
"Nuevo rico, nuevo pobre",50,Comedy,"Martín Karpan, Carolina Acevedo, Jhon Álex Toro, María Cecilia Botero",7.2,97,2007
Beulraek,360,"Crime, Drama, Fantasy","Song Seung-heon, Go Ara, Lee El, Jo Jae-yoon",8,2995,2017
Bakemonogatari,185,"Animation, Action, Comedy","Hiroshi Kamiya, Eri Kitamura, Yuka Iguchi, Chiwa Saitô",8,4614,2009
Judge John Deed,24,"Crime, Drama, Mystery","Martin Shaw, Jenny Seagrove, Barbara Thorn, Simon Chandler",7.6,1030,2001
Kaichou wa meido-sama!,90,"Animation, Comedy, Romance","David Matranga, Monica Rial, Ayumi Fujimura, Nobuhiko Okamoto",8,5723,2010
Ask-i Memnu,60,"Drama, Romance","Beren Saat, Kivanç Tatlitug, Nebahat Çehre, Hazal Kaya",7.4,12095,2008
Roadies,60,"Comedy, Drama, Music","Carla Gugino, Luke Wilson, Imogen Poots, Rafe Spall",7.4,5291,2016
Last Resort,22,"Action, Drama, Mystery","Andre Braugher, Scott Speedman, Daisy Betts, Camille De Pazzis",7.4,21120,I 20
Undeclared,10,Comedy,"Jay Baruchel, Carla Gallo, Charlie Hunnam, Monica Keena",7.9,16416,2001
State of the Union,56,"Short, Comedy, Drama","""Chris ODowd"", Rosamund Pike, Patricia Clarkson, Brendan Gleeson",7.9,4308,2019
Boss,45,"Crime, Drama","Kelsey Grammer, Connie Nielsen, Hannah Ware, Jeff Hephner",8.1,17165,2011
Wolf Creek,30,"Horror, Thriller","John Jarratt, Lucy Fry, Dustin Clare, Tess Haubrich",7.2,4473,2016
The Avengers: Earth's Mightiest Heroes,30,"Animation, Action, Adventure","Eric Loomis, ""Colleen OShaughnessey"", Brian Bloom, Rick D. Wasserman",8.3,13468,2010
The Windsors,30,Comedy,"Celeste Dring, Louise Ford, Hugh Skinner, Ellie White",7.1,2318,2016
Forever,43,"Comedy, Drama, Fantasy","Maya Rudolph, Fred Armisen, Catherine Keener, Noah Robbins",7.2,5671,I 20
Touch,44,"Drama, Mystery, Sci-Fi","Kiefer Sutherland, David Mazouz, Gugu Mbatha-Raw, Lukas Haas",7.3,41835,2012
Spider-Man,60,"Animation, Action, Adventure","Robbie Daymond, Nadji Jeter, Fred Tatasciore, Laura Bailey",6.1,1930,2017
Saving Grace,30,"Drama, Fantasy","Holly Hunter, Leon Rippy, Kenny Johnson, Bailey Chase",7.6,4651,2007
Work in Progress,45,Comedy,"Abby McEnany, Karin Anglin, Celeste Pechous, Julia Sweeney",7.3,1329,II 2
Dark Heart,16,"Crime, Drama, Thriller","Tom Riley, Joseph Teague, Anjli Mohindra, Charlotte Riley",6.6,1286,2016
Little Things,60,"Comedy, Romance","Dhruv Sehgal, Mithila Palkar, Abhishek Bhalerao, Rishi Deshpande",8.3,4810,2016
Outcast,60,"Drama, Horror","Patrick Fugit, Philip Glenister, Wrenn Schmidt, Reg E. Cathey",7.4,18030,2016
Tabula Rasa,60,"Drama, Horror, Thriller","Veerle Baetens, Stijn Van Opstal, Jeroen Perceval, Gene Bervoets",8,8947,2017
Chopped,42,Reality-TV,"Ted Allen, Amanda Freitag, Alex Guarnaschelli, Marc Murphy",7.5,3487,2007
Briarpatch,25,"Crime, Drama, Mystery","Rosario Dawson, Jay R. Ferguson, Edi Gathegi, Brian Geraghty",6.5,2072,2019
Ghostwriter,21,"Family, Fantasy, Mystery","Isaac Arellanes, Amadi Chapata, Hannah Levinson, Justin Sanchez",5.6,702,2019
Big Hero 6: The Series,60,"Animation, Action, Adventure","Scott Adsit, Ryan Potter, Brooks Wheelan, Khary Payton",7.2,1577,2017
The Paradise,60,Drama,"Joanna Vanderham, Emun Elliott, Stephen Wight, Sonya Cassidy",7.7,10756,2012
Bedrag,21,"Crime, Drama, Thriller","Esben Smed, Thomas Hwan, Thomas Bo Larsen, Natalie Madueño",7.6,3402,2016
Man Seeking Woman,30,"Comedy, Fantasy, Romance","Jay Baruchel, Eric André, Britt Lower, Robin Duke",7.8,9730,2015
Lingerie,60,"Drama, Romance","Jennifer Korbin, Michael Murray Scratch, Geoff Stevens, Lana Tailor",6.6,446,2009
Il cacciatore,62,"Action, Crime, Drama","Francesco Montanari, Miriam Dalmazio, Edoardo Pesce, Francesco Foti",7.3,547,2018
19-2,46,"Crime, Drama","Adrian Holmes, Jared Keeso, Mylène Dinh-Robic, Benz Antoine",8.2,2304,2014
Romaenseuneun Byulchaekboorok,44,Romance,"Lee Na-Young, Lee Jong-Suk, Jeong Eu-Gene, Wi Ha-Joon",8.1,3516,2019
Above Suspicion,60,"Crime, Drama, Thriller","Kelly Reilly, Ciarán Hinds, Shaun Dingwall, Amanda Lawrence",7.2,2211,2009
CSI: Cyber,44,"Crime, Drama, Mystery","Patricia Arquette, James Van Der Beek, Shad Moss, Charley Koontz",5.5,10335,2015
Dokyumentaru,60,"Comedy, Reality-TV","Hitoshi Matsumoto, Toshifumi Fujimoto, Jimmy Ohnishi, Kunihiro Kawashima",8,264,2016
Alhambeura Goongjeonui Chooeok,60,"Drama, Romance, Sci-Fi","Park Shin-Hye, Hyun Bin, Jin-Woong Min, Park Hoon",7.8,4174,2018
Love It or List It,44,Reality-TV,"Hilary Farr, David Visentin, Jason Byrd, Eric Eremita",6.3,1941,2008
Nangmandakteo Kimsaboo,55,"Drama, Romance","Han Suk-kyu, Woo-min Byeon, Jin Kyung, Min-Jae Kim",8.3,1451,2016
The Tonight Show Starring Jimmy Fallon,40,"Comedy, Music, Talk-Show","Jimmy Fallon, The Roots, Steve Higgins, Questlove",7.2,16645,2014
Alphas,24,"Action, Drama, Sci-Fi","David Strathairn, Ryan Cartwright, Warren Christie, Azita Ghanizada",7.2,27922,2011
Good Girls Revolt,60,Drama,"Genevieve Angelson, Anna Camp, Erin Darke, Hunter Parrish",8.2,5345,2015
Helix,30,"Drama, Horror, Mystery","Billy Campbell, Kyra Zagorsky, Mark Ghanimé, Jordan Hayes",6.8,28507,2014
PJ Masks,60,"Animation, Action, Adventure","Addison Holley, Kyle Breitkopf, Juan Luis Bonilla, Brianna Daguanno",5.5,977,2015
The Chase,23,Game-Show,"Brooke Burns, Mark Labbett, Shawn Parr, Cory Anotado",7.4,757,2013
Teenage Mutant Ninja Turtles,60,"Animation, Action, Adventure","Michael Sinterniklaas, Wayne Grayson, Gregory Abbey, Sam Riegel",7.8,8879,2003
Znaki,44,"Crime, Thriller","Andrzej Konopka, Helena Sujecka, Jen Fiskum, Magdalena Zak",6.2,1233,2018
Guy's Grocery Games,11,"Game-Show, Reality-TV","Guy Fieri, Troy Johnson, Aarti Sequeira, Catherine McCord",6.6,1052,2013
Sonny with a Chance,60,"Comedy, Family, Romance","Demi Lovato, Tiffany Thornton, Sterling Knight, Brandon Mychal Smith",6.1,10991,2009
Moonlight,60,"Drama, Fantasy, Horror","""Alex OLoughlin"", Sophia Myles, Jason Dohring, Shannyn Sossamon",7.6,23683,2007
The Real Housewives of New Jersey,138,Reality-TV,"Teresa Giudice, Melissa Gorga, Jacqueline Laurita, Joe Gorga",4,3213,2009
Camp Camp,30,"Animation, Adventure, Comedy","Michael Jones, Elizabeth Maxwell, Miles Luna, Yuri Lowenthal",8,1049,2016
Caprica,21,"Action, Drama, Sci-Fi","Eric Stoltz, Esai Morales, Paula Malcomson, Alessandra Torresani",7.1,24116,2009
Ghost Hunters,43,Thriller,"Jason Hawes, Steve Gonsalves, Grant Wilson, Dave Tango",6.2,6380,2004
Blue Murder,60,"Crime, Drama, Mystery","Caroline Quentin, Ian Kelsey, Paul Loughran, Nicholas Murchie",7.2,1179,2003
Soosanghan Pateuneo,23,"Comedy, Crime, Romance","Ji Chang-Wook, Nam Ji-Hyun, Choi Tae-Joon, Nara",7.9,3390,2017
Detroiters,44,Comedy,"Sam Richardson, Tim Robinson, Pat Vern Harris, Lailani Ledesma",7.9,2046,2017
Vanderpump Rules,30,Reality-TV,"Katie Maloney, Kristen Doute, Stassi Schroeder, Scheana Shay",5.4,2246,2013
Tangle,24,Drama,"Justine Clarke, Catherine McClements, Matt Day, Kat Stewart",7.6,372,2009
Given,40,"Animation, Drama, Music","Takuya Eguchi, Masatomo Nakazawa, Yuma Uchida, Shogo Yano",8.4,1798,2019
Ransom,60,"Action, Crime, Drama","Luke Roberts, Brandon Jay McLaren, Nazneen Contractor, Sarah Greene",6.6,3265,2017
House of Mouse,22,"Animation, Comedy, Family","Wayne Allwine, Bill Farmer, Rod Roddy, Corey Burton",7.5,3578,2001
Bubble Guppies,30,"Animation, Comedy, Family","Brianna Gentilella, Cynthia de Graaff, Tino Insana, Jacob Bertrand",6.4,1220,2011
American Ninja Warrior,24,"Animation, Action, Adventure","Matt Iseman, Akbar Gbajabiamila, Jenn Brown, Kristine Leahy",6.8,3231,2009
Mocro Maffia,61,Crime,"Robert de Hoog, Achmed Akkabi, Nasrdin Dchar, Walid Benmbarek",8.2,2143,2018
Brickleberry,60,"Animation, Comedy","Daniel Tosh, Roger Black, David Herman, Tom Kenny",7.3,14161,2012
The Casagrandes,300,"Animation, Action, Adventure","Carlos Alazraqui, Alex Cazares, Sonia Manzano, Izabella Alvarez",6.3,532,2019
Difficult People,60,Comedy,"Julie Klausner, Billy Eichner, James Urbaniak, Andrea Martin",7,3571,2015
3Below: Tales of Arcadia,60,"Animation, Action, Adventure","Tatiana Maslany, Diego Luna, Nick Offerman, Frank Welker",7.7,4723,2018
The Last Tycoon,60,Drama,"Matt Bomer, Kelsey Grammer, Lily Collins, Dominique McElligott",7.7,4725,2016
Janet King,30,"Crime, Drama, Mystery","Marta Dusseldorp, Damian Walshe-Howling, Hamish Michael, Andrea Demetriades",7.8,1732,2014
Five Days,321,"Crime, Drama, Mystery","Suranne Jones, Lee Massey, Michelle Bonnard, David Oyelowo",6.7,2406,2007
Unsolved,60,"Biography, Crime","Josh Duhamel, Bokeem Woodbine, Wavyy Jonez, Marcc Rose",7.9,6903,2018
Blood Drive,43,"Action, Adventure, Comedy","Alan Ritchson, Christina Ochoa, Thomas Dominique, Marama Corlett",7.3,5730,2017
Fear Factor,60,"Game-Show, Reality-TV, Thriller","Joe Rogan, Meghan Allen, Meg Daleske, Monica Gonzales",5.6,6370,I 20
The Repair Shop,30,"Documentary, Reality-TV","Jay Blades, Steven Fletcher, William Kirk, Bill Paterson",8.7,1046,2017
DNA,20,"Crime, Drama, Mystery","Anders W. Berthelsen, Zofia Wichlacz, Charlotte Rampling, Olivia Joof Lewerissa",7.3,2151,I 20
Legends,43,"Action, Crime, Drama","Sean Bean, Morris Chestnut, Ali Larter, Tina Majorino",7.5,12747,2014
BH90210,240,"Comedy, Drama, Romance","Gabrielle Carteris, Shannen Doherty, Jennie Garth, Brian Austin Green",6.9,3916,2019
Upstairs Downstairs,60,Drama,"Keeley Hawes, Ed Stoppard, Adrian Scarborough, Neil Jackson",7.4,5650,2010
Codename: Kids Next Door,43,"Animation, Action, Adventure","Dee Bradley Baker, Ben Diskin, Lauren Tom, Cree Summer",7.2,17882,2002
Grey's Anatomy: B-Team,60,Drama,"Sarkis Ninos, Jeanine Mason, Jake Borelli, Sophia Ali",8.1,513,2018
Breakout Kings,70,"Crime, Drama, Thriller","Domenick Lombardozzi, Brooke Nevin, Malcolm Goodwin, Jimmi Simpson",7.3,14950,2011
Our Yorkshire Farm,30,Documentary,"Ralf Little, Amanda Owen, Clive Owen",9.2,155,2018
Franklin & Bash,22,"Comedy, Crime, Drama","Mark-Paul Gosselaar, Breckin Meyer, Reed Diamond, Malcolm McDowell",7.6,13258,2011
Vampire Academy: the Officially Unofficial Fan Series,20,"Adventure, Fantasy","Ashley Lyn Blair, Jennifer Studnicki, Justin David, Courtney Dietz",6.3,81,2016
Der Pass,60,"Crime, Drama, Mystery","Julia Jentsch, Nicholas Ofczarek, Franz Hartwig, Hanno Koffler",8,4434,2018
The Street,50,Drama,"Timothy Spall, Ger Ryan, Lee Ingleby, Christine Bottomley",8.3,1084,2006
"Ssam, Maiwei",21,"Comedy, Romance","Seo Jun Park, Kim Ji-Won, Jae-hong Ahn, Song Ha-Yoon",8.1,4059,2017
The Real O'Neals,26,"Comedy, Drama, Musical","Martha Plimpton, Jay R. Ferguson, Noah Galvin, Matt Shively",7.1,5157,2016
Hunter Street,47,"Adventure, Comedy, Family","Kyra Isako Smith, Daan Creyghton, Tooske Ragas, Kate Bensdorp",7.2,499,2017
Two Sentence Horror Stories,24,"Drama, Horror, Mystery","Lauri Hendler, Wei-Yi Lin, Mardy Ma, Hannah Barlow",5.5,1323,2017
No Ordinary Family,42,"Action, Comedy, Drama","Michael Chiklis, Julie Benz, Kay Panabaker, Jimmy Bennett",6.9,16194,2010
Chef's Table,120,Documentary,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore",8.5,13901,2015
Another Period,24,"Comedy, History","Natasha Leggero, Riki Lindhome, Armen Weitzman, Michael Ian Black",7.2,4479,2013
Trollied,30,Comedy,"Rita May, Jason Watkins, Faye McKeever, Carl Rice",7.3,2182,2011
Wild at Heart,24,Drama,"Stephen Tompkinson, Deon Stewardson, Nomsa Xaba, Thapelo Mokoena",7.4,1291,2006
Sôru îtâ,21,"Animation, Action, Adventure","Laura Bailey, Chiaki Omigawa, Micah Solusod, Brittney Karbowski",7.8,11443,2008
Sister Wives,30,Reality-TV,"Meri Brown, Kody Brown, Christine Brown, Janelle Brown",4.4,2192,2010
Hekimoglu,22,"Comedy, Drama, Mystery","Timuçin Esen, Okan Yalabik, Kaan Yildirim, Aytaç Sasmaz",7.3,1185,2019
Arslan Senki,60,"Animation, Action, Adventure","Jerry Jewell, Ryan Reynolds, Rachel Robinson, Christopher Bevins",7.6,1419,2015
Gossip Boy,30,Drama,"Daniel Landroche, Matthew Arnett, Angela Henderson, Christopher Sams",5.4,101,2011
Stan Against Evil,44,"Comedy, Fantasy, Horror","John C. McGinley, Janet Varney, Deborah Baker Jr., Nate Mooney",7.3,5078,2016
Back,30,"Comedy, Drama","David Mitchell, Robert Webb, Louise Brealey, Penny Downie",7.4,2570,2017
Nana,52,"Animation, Comedy, Drama","Romi Pak, Kaori, Brian Drummond, Toshiyuki Morikawa",8.4,2884,2006
Kristin,293,Comedy,"Kristin Chenoweth, Jon Tenney, Larry Romano, Ana Ortiz",6.2,122,2001
Dog with a Blog,60,"Comedy, Drama, Family","Genevieve Hannelius, Blake Michael, Francesca Capaldi, Stephen Full",4.9,5604,2012
Dirty Money,21,"Documentary, Crime","Matt Taibbi, Alex Gibney, Anabel Hernández, Fahmi Quadir",8.1,8220,2018
Pup Academy,22,Family,"Christian Convery, Chance Hurstfield, Dylan Schombing, Travis Turner",6.7,395,2019
Creeped Out,43,"Drama, Family, Fantasy","Victoria Diamond, William Romain, Jaiden Cannatelli, Lukas Engel",6.6,1507,2017
Dwight in Shining Armor,29,"Adventure, Comedy, Fantasy","Sloane Morgan Siegel, Caitlin Carmichael, Joel McCrary, Danielle Bisutti",7.5,228,2019
Shahs of Sunset,42,Reality-TV,"Asa Soltan Rahmati, Reza Farahan, Golnesa Gharachedaghi, Mercedes Javid",4.7,1404,2012
One on One,44,Comedy,"Kyla Pratt, ""Robert Richard"", Flex Alexander, Kelly Perine",7.1,2002,2001
Un village français,60,Drama,"Robin Renucci, Audrey Fleurot, Thierry Godard, Marie Kremer",8.4,1198,2009
Mr. Sunshine,30,Comedy,"Matthew Perry, Andrea Anders, James Lesure, Nate Torrence",6.7,6778,2011
Boiseu,12,"Action, Crime, Mystery","Lee Hana, Eun-seo Son, Lee Jin-Wook, Kim Woo-Seok",7.7,1380,2017
Man Like Mobeen,30,Comedy,"Guz Khan, Tez Ilyas, Dúaa Karim, Tolu Ogunmefun",8,1884,2017
Urban Myths,22,"Adventure, Biography, Comedy","Robbie Coltrane, David Avery, Saoirse-Monica Jackson, Paul Kaye",7.4,711,2017
The Real Housewives of Orange County,45,Reality-TV,"Vicki Gunvalson, Tamra Judge, Shannon Storms Beador, Heather Dubrow",4.1,3370,2006
Upstart Crow,12,"Comedy, History","David Mitchell, Gemma Whelan, Rob Rouse, Liza Tarbuck",7.6,2750,2016
Chicago Justice,24,"Crime, Drama","Philip Winchester, Jon Seda, Joelle Carter, Monica Barbaro",6.8,3690,2017
Hamilton,43,"Action, Drama, Thriller","Jakob Oftebro, Krister Henriksson, Peter Andersson, Annika Hallin",6.9,1757,2020
Twisted,30,"Drama, Mystery, Thriller","Avan Jogia, Maddie Hasson, Ashton Moio, Kimberly Quinn",7.3,9391,2013
Outnumbered,30,"Comedy, Drama","Hugh Dennis, Claire Skinner, Tyger Drew-Honey, Daniel Roche",8,10054,2007
Mike Tyson Mysteries,60,"Animation, Adventure, Comedy","Mike Tyson, Norm MacDonald, Rachel Ramras, Jim Rash",8.1,4067,2014
The Big C,60,"Comedy, Drama","Laura Linney, Oliver Platt, Gabriel Basso, John Benjamin Hickey",8.1,14159,2010
Drawn Together,120,"Animation, Comedy, Reality-TV","Adam Carolla, Jess Harnell, Abbey McBride, Jack Plotnick",7,19185,2004
Being Erica,42,"Adventure, Comedy, Drama","Erin Karpluk, Reagan Pasternak, Michael Riley, Kathleen Laskey",7.5,9206,2009
Looney Tunes Cartoons,43,"Animation, Short, Adventure","Eric Bauza, Jeff Bergman, Bob Bergen, Fred Tatasciore",8.1,753,2019
Satsuriku no Tenshi,40,"Animation, Adventure, Horror","Haruka Chisuga, Meg McClain, Dallas Reid, Derick Snow",6.4,1301,2018
Underground,60,"Adventure, Drama, History","Jurnee Smollett, Aldis Hodge, Jessica De Gouw, Alano Miller",7.8,4836,2016
A Little Late with Lilly Singh,23,"Comedy, Talk-Show","Lilly Singh, Alison Sieke, Henry Dittman, Rainn Wilson",1.6,6464,2019
Danny Phantom,70,"Animation, Action, Adventure","David Kaufman, Grey Griffin, ""Rickey DShon Collins"", Rob Paulsen",7.1,15999,2004
The Royal,90,Drama,"Robert Daws, Linda Armstrong, Amy Robbins, Denis Lill",7.4,704,2003
Anthony Bourdain: No Reservations,30,"Adventure, Reality-TV","Anthony Bourdain, Tom Vitale, Zamir Gotta, Todd Liebler",8.5,6475,2005
Very Scary People,60,"Documentary, Crime, History","Donnie Wahlberg, Sam Amirante, Michael Bonnin, John Butkovich",7.5,198,2019
Kurtlar Vadisi: Pusu,42,"Action, Crime, Drama","Necati Sasmaz, Erhan Ufak, Cahit Kayaoglu, Adnan Erdogan",6.2,7738,2007
Criminal Minds: Suspect Behavior,44,"Action, Adventure, Crime","Forest Whitaker, Janeane Garofalo, Michael Kelly, Beau Garrett",6.3,4857,2011
American Crime,60,"Crime, Drama","Felicity Huffman, Regina King, Timothy Hutton, Richard Cabral",7.8,9346,2015
Harper's Island,60,"Drama, Horror, Mystery","Elaine Cassidy, Christopher Gorham, Matt Barr, Gina Holden",7.5,25520,2009
Dickensian,43,Drama,"Tuppence Middleton, Sophie Rundle, Alexandra Moen, Joseph Quinn",7.6,3029,2015
Ano hi mita hana no namae o bokutachi wa mada shiranai.,42,"Animation, Adventure, Drama","Miyu Irino, Ai Kayano, Haruka Tomatsu, Takahiro Sakurai",8.2,10605,2011
El ministerio del tiempo,60,"Adventure, Comedy, Fantasy","Cayetana Guillén Cuervo, Juan Gea, Francesca Piñón, Jaime Blanch",8.2,4570,2015
Les petits meurtres d'Agatha Christie,56,"Comedy, Crime, Drama","Blandine Bellavoir, Samuel Labarthe, Elodie Frenck, Dominique Thomas",7.6,961,2009
That '80s Show,33,Comedy,"Glenn Howerton, Tinsley Grimes, Chyler Leigh, Eddie Shin",4.8,2023,2002
Beat Shazam,60,"Game-Show, Music","Jamie Foxx, Corinne Foxx, DJ Irie, October Gonzalez",6,600,2017
Sea Patrol,30,"Action, Crime, Drama","John Batchelor, Matthew Holmes, Lisa McCune, Kristian Schmid",7.5,1837,2007
Backstrom,120,"Comedy, Crime, Drama","Rainn Wilson, Genevieve Angelson, Kristoffer Polaha, Page Kennedy",7.4,9237,2015
30 for 30,60,"Documentary, Biography, History","Dick Vitale, Brent Musburger, William C. Rhoden, Mike Tyson",8.8,4478,2009
The Dresden Files,30,"Action, Crime, Drama","Paul Blackthorne, Valerie Cruz, Terrence Mann, Raoul Bhaneja",7.7,9673,2007
The Enemy Within,60,Drama,"Jennifer Carpenter, Morris Chestnut, Raza Jaffrey, Kelli Garner",7.1,5942,2019
Skins,30,"Comedy, Drama","Danny Flaherty, Ron Mustafa, James Newman, Jesse Carere",3.9,5477,2011
Notorious,44,"Drama, Thriller","Piper Perabo, Daniel Sunjata, Kate Jennings Grant, Aimee Teegarden",6.6,4271,2016
Mad Dogs,43,"Comedy, Crime, Drama","Ben Chaplin, Michael Imperioli, Romany Malco, Steve Zahn",7.5,8008,2015
Nailed It!,60,Reality-TV,"Nicole Byer, Jacques Torres, Weston Bahr, Charity George",7.4,4023,2018
The Hour,30,Drama,"Romola Garai, Ben Whishaw, Dominic West, Anna Chancellor",8,9643,2011
"Diners, Drive-ins and Dives",43,Reality-TV,"Guy Fieri, Hunter Fieri, Ryder Fieri, Lori Fieri",7.3,3368,2006
Cesur Ve Güzel,120,"Crime, Drama, Romance","Kivanç Tatlitug, Tuba Büyüküstün, Tamer Levent, Erkan Avci",7.1,4382,2016
The Playboy Club,30,"Crime, Drama","Randy Steinmeyer, Eddie Cibrian, David Krumholtz, Laura Benanti",6.3,5147,2011
Wild 'N Out,30,Comedy,"Nick Cannon, DJ D-Wrek, Chico Bean, Emmanuel Hudson",6.4,2069,2005
Mutant X,60,"Action, Adventure, Drama","Victoria Pratt, Forbes March, Victor Webster, John Shea",5.9,3983,2001
Transformers Prime,20,"Animation, Action, Adventure","Peter Cullen, Sumalee Montano, Jeffrey Combs, Frank Welker",7.9,5729,2010
Heder,42,"Crime, Drama","Julia Dufvenius, Anja Lundqvist, Alexandra Rapaport, Eva Röse",6.3,875,2019
Clique,90,"Drama, Thriller","Rachel Hurd-Wood, Synnove Karlsen, Sophia Brown, Izuka Hoyle",7,2484,2017
Containment,22,Drama,"David Gyasi, Christina Moses, Chris Wood, Claudia Black",7.2,10256,2016
The Real Bros of Simi Valley,60,Comedy,"Nick Colletti, Cody Ko, Getter, Colleen Donovan",9.1,1254,2017
